#vuds_ident alpha delta id_iau id_candels z_spec zflags magi model age age_loweff1sig age_higheff1sig log_stellar_mass stellar_mass_loweff1sig stellar_mass_higheff1sig log_star_formation_rate star_formation_rate_loweff1sig star_formation_rate_higheff1sig log_specific_sfr specific_sfr_loweff1sig specific_sfr_higheff1sig m_k k ek z_1a ra dec flag
5101226863 150.18504333 2.41726494 VUDS-J100044.41+022502.1 19848 0.5074 4 24.037 2 809965000 393809000 1580750000 8.36655 8.26058 8.47262 -0.388393 -0.605015 -0.172804 -8.76054 -9.05205 -8.47469 -17.83 23.409 0.111 0.5074 150.18504333 2.41726494 4
5101227063 150.16122437 2.4225471 VUDS-J100038.69+022521.1 20233 0.8932 3 24.748 2 1037550000 470709000 2064690000 8.70529 8.57228 8.83913 -0.195783 -0.403189 0.0385037 -8.91966 -9.19342 -8.58287 -18.771 -99.9 -99.9 0.8932 150.16122437 2.4225471 3
5101227236 150.19154358 2.4211719 VUDS-J100045.96+022516.2 20141 0.9815 3 23.864 5 523532000 295581000 888044000 8.91858 8.81048 9.01656 0.386207 0.238665 0.567921 -8.5163 -8.76041 -8.26668 -19.848 23.65 0.132 0.9815 150.19154358 2.4211719 3
5101227238 150.191 2.42099 VUDS-J100045.75+022515.5 -99.9 4.6478 22 24.038 5 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -23.085 23.497 0.099 4.6478 150.191 2.42099 22
5101227599 150.16659546 2.41860294 VUDS-J100039.98+022506.9 19912 2.5461 1 24.547 11 381763000 174887000 704610000 9.28202 9.07486 9.44692 0.913037 0.820501 1.01922 -8.36995 -8.59673 -8.0745 -20.68 24.443 0.231 2.5461 150.16659546 2.41860294 1
5101227822 150.17678833 2.41718102 VUDS-J100042.42+022501.8 19821 3.3814 2 24.959 11 52293100 46978800 109551000 9.11218 8.96678 9.20415 1.58998 1.41615 1.76724 -7.36475 -7.69513 -7.25272 -21.196 24.428 0.281 3.3814 150.17678833 2.41718102 2
5101227899 150.18702698 2.41693592 VUDS-J100044.88+022500.9 19816 2.5226 3 24.455 4 1828000000 1180060000 2221230000 10.156 10.0694 10.2349 1.00994 0.923527 1.09318 -9.16046 -9.28203 -9.01664 -22.315 23.24 0.092 2.5226 150.18702698 2.41693592 3
5101227933 150.16807556 2.41213489 VUDS-J100040.33+022443.6 19389 5.5828 9 24.975 11 161761000 53584500 393123000 9.24295 8.93013 9.52415 1.2482 1.13906 1.42822 -7.97565 -8.31697 -7.59655 -21.066 24.728 0.3 5.5828 150.16807556 2.41213489 9
5101227985 150.14750671 2.41534495 VUDS-J100035.40+022455.2 19656 2.4286 3 24.337 7 1808820000 1130710000 2371310000 10.0868 9.98022 10.1748 0.971679 0.845021 1.13024 -9.10953 -9.28045 -8.90943 -22.318 23.548 0.102 2.4286 150.14750671 2.41534495 3
5101227996 150.14587402 2.41253209 VUDS-J100035.00+022445.1 19438 2.1925 2 23.033 1 344633000 176659000 687549000 9.73765 9.61003 9.86312 1.36811 1.17594 1.52381 -8.35933 -8.66593 -8.0931 -22.023 23.037 0.064 2.1925 150.14587402 2.41253209 2
5101228008 150.17956543 2.4161489 VUDS-J100043.09+022458.1 19723 3.7577 2 24.079 8 1244780000 806370000 1541700000 9.92536 9.74689 10.0344 1.00559 0.933797 1.07697 -8.91223 -9.047 -8.71026 -22.249 24.763 0.311 3.7577 150.17956543 2.4161489 2
5101228314 150.18191528 2.41369796 VUDS-J100043.65+022449.3 19516 0.9010 9 24.771 13 601574000 171541000 2234030000 8.69382 8.48173 8.92714 0.0984273 -0.291074 0.437143 -8.58114 -9.19006 -8.08247 -20.144 24.885 0.349 0.901 150.18191528 2.41369796 9
5101228764 150.19602966 2.41233301 VUDS-J100047.04+022444.3 19426 3.1618 3 24.321 1 329755000 139557000 694590000 10.0088 9.85748 10.1489 1.66533 1.43741 1.95329 -8.34549 -8.67252 -7.95601 -22.455 23.354 0.086 3.1618 150.19602966 2.41233301 3
5101228787 150.15879822 2.41090798 VUDS-J100038.11+022439.2 19351 2.6592 3 23.896 13 951715000 531312000 1522040000 10.7894 10.6925 10.8791 2.03972 1.91992 2.15752 -8.77107 -8.95935 -8.55035 -24.27 22.195 0.037 2.6592 150.15879822 2.41090798 3
5101228820 150.19421387 2.41098905 VUDS-J100046.61+022439.5 19322 0.0984 3 24.279 10 1688100000 791620000 3729860000 7.02904 7.00929 7.15047 -2.26022 -2.60354 -1.983 -9.19945 -9.58688 -8.88492 -13.764 24.285 0.206 0.0984 150.19421387 2.41098905 3
5101229197 150.16371155 2.40589499 VUDS-J100039.29+022421.2 18884 3.5058 2 24.886 3 1307020000 883441000 1581480000 10.2028 10.084 10.3156 1.03018 0.679632 1.26866 -9.19051 -9.52919 -8.91282 -22.827 24.266 0.196 3.5058 150.16371155 2.40589499 2
5101229289 150.19984436 2.40553498 VUDS-J100047.96+022419.9 18832 2.9666 2 24.088 5 413678000 168030000 860949000 9.5289 9.33187 9.70096 1.08312 0.917675 1.32776 -8.43291 -8.73772 -8.04979 -21.563 24.571 0.262 2.9666 150.19984436 2.40553498 2
5101232355 150.18969727 2.38568592 VUDS-J100045.52+022308.4 17264 4.2685 4 24.17 11 370409000 165822000 709324000 10.3271 10.1763 10.4696 1.95189 1.8152 2.17272 -8.37957 -8.62014 -8.03457 -23.462 23.147 0.077 4.2685 150.18969727 2.38568592 4
5101232362 150.17326355 2.38510489 VUDS-J100041.58+022306.3 17226 2.0818 2 24.334 1 318007000 213390000 594673000 9.96934 9.85603 10.048 1.45742 0.877521 1.66889 -8.54012 -9.13864 -8.21228 -22.27 22.916 0.065 2.0818 150.17326355 2.38510489 2
5101232797 150.1423645 2.38260198 VUDS-J100034.16+022257.3 16997 2.7143 2 24.824 10 174401000 97321500 382217000 9.20562 9.00978 9.38896 1.1243 1.00226 1.33744 -8.06996 -8.35061 -7.69467 -20.853 -99.9 -99.9 2.7143 150.1423645 2.38260198 2
5101233078 150.19169617 2.37993407 VUDS-J100046.00+022247.7 16788 2.6855 3 24.762 5 685870000 350592000 1224820000 9.65014 9.48103 9.78989 0.988583 0.845948 1.15239 -8.66452 -8.89497 -8.38372 -21.381 23.961 0.148 2.6855 150.19169617 2.37993407 3
5101233392 150.14395142 2.37385392 VUDS-J100034.54+022225.8 16301 0.9375 4 24.035 2 826571000 434062000 1460380000 9.1674 9.07607 9.24899 0.3774 0.162036 0.534795 -8.80723 -9.06482 -8.57315 -19.971 23.118 0.081 0.9375 150.14395142 2.37385392 4
5101233433 150.18684387 2.3791101 VUDS-J100044.84+022244.7 16703 3.7403 4 24.244 10 292067000 125508000 558188000 9.905 9.74054 10.0555 1.65884 1.45993 1.89898 -8.22856 -8.55152 -7.90844 -22.442 23.659 0.144 3.7403 150.18684387 2.3791101 4
5101233444 150.15748596 2.3790741 VUDS-J100037.79+022244.6 16709 2.1102 2 24.984 5 1080820000 588553000 1803360000 9.33874 9.16922 9.4737 0.490812 0.364897 0.599699 -8.84239 -9.06826 -8.6041 -20.522 24.374 0.216 2.1102 150.15748596 2.3790741 2
5101233539 150.18009949 2.37834096 VUDS-J100043.22+022242.0 16657 4.9077 4 24.663 2 709969000 356158000 1019690000 10.5337 10.3595 10.6703 1.8142 1.53928 2.05344 -8.72696 -9.06065 -8.3819 -23.683 23.843 0.133 4.9077 150.18009949 2.37834096 4
5101233584 150.18501282 2.37743306 VUDS-J100044.40+022238.7 16640 2.1677 3 23.836 3 822342000 362245000 1540610000 10.2696 10.1598 10.3635 1.39248 1.26424 1.77851 -8.90694 -9.06425 -8.41912 -22.849 22.454 0.045 2.1677 150.18501282 2.37743306 3
5101233724 150.17739868 2.37523007 VUDS-J100042.57+022230.8 16397 4.3862 4 24.713 8 450824000 175700000 867680000 9.66954 9.4532 9.84453 1.21054 1.05221 1.43321 -8.45915 -8.74038 -8.06891 -22.328 24.141 0.174 4.3862 150.17739868 2.37523007 4
5101234049 150.16836548 2.37416506 VUDS-J100040.40+022226.9 16310 2.9958 2 24.982 3 1696030000 1317510000 1977090000 10.1755 10.0577 10.2887 0.969222 0.792 1.09957 -9.16984 -9.45152 -9.02107 -22.866 24.447 0.243 2.9958 150.16836548 2.37416506 2
