#vuds_ident alpha delta spmask_obs quad slit obj det meanflux sn maxdel rmsdel z_spec zflags id_iau id_candels magi
511245061  150.13021851 2.30009508 F51P005 1 107 2 OK 1.358 1.408 1.102 0.473 2.5487 22 VUDS-J100031.25+021800.3 10082 24.493
511237379  150.12994385 2.35028911 F51P005 1 108 1 OK 0.325 0.566 1.107 0.722 2.5520 1 VUDS-J100031.18+022101.0 -99.9 22.581
510996891  150.13192749 2.27270389 F51P005 1 109 1 OK 2.132 1.788 1.242 0.611 2.5600 3 VUDS-J100031.66+021621.7 7767 24.549
510999751  150.13322449 2.25350904 F51P005 1 110 1 OK 1.047 0.988 1.282 0.840 2.5594 1 VUDS-J100031.97+021512.6 6263 24.999
511239525  150.133255 2.33610702 F51P005 1 111 1 OK 0.998 0.999 2.221 0.991 1.8980 1 VUDS-J100031.98+022009.9 13054 24.577
510996193  150.13511658 2.27799606 F51P005 1 112 1 OK 0.979 1.230 0.903 0.540 2.9537 32 VUDS-J100032.42+021640.7 8200 24.582
511241910  150.14103699 2.31960106 F51P005 1 118 1 OK 2.753 2.072 2.080 1.032 1.4520 1 VUDS-J100033.84+021910.5 11778 23.762
510997733  150.14434814 2.2668879 F51P005 1 121 1 OK 3.088 2.806 1.706 0.887 3.0046 4 VUDS-J100034.64+021600.7 7312 24.444
511245444  150.14608765 2.29711103 F51P005 1 123 1 OK 3.479 3.126 1.343 0.715 3.0385 4 VUDS-J100035.06+021749.5 9786 24.329
511001325  150.14772034 2.24385095 F51P005 1 124 1 OK 1.051 0.586 1.029 0.526 1.4660 1 VUDS-J100035.45+021437.8 5496 24.927
511244889  150.14743042 2.30163193 F51P005 1 125 1 OK 3.920 2.367 1.305 0.725 3.3058 3 VUDS-J100035.38+021805.8 10201 23.870
511006489  150.07696533 2.18908691 F51P005 4 43 1 OK 1.040 1.407 1.861 1.069 2.2351 2 VUDS-J100018.47+021120.7 676 23.907
511011018  150.08303833 2.17792201 F51P005 4 50 1 OK 2.411 2.115 1.616 0.966 2.9802 1 VUDS-J100019.92+021040.5 53 24.258
511009468  150.08453369 2.19014096 F51P005 4 53 1 OK 1.157 1.552 2.102 0.981 2.9629 3 VUDS-J100020.28+021124.5 776 24.500
511010096  150.08691406 2.18508697 F51P005 4 54 1 OK 1.985 1.393 2.759 1.243 2.3787 3 VUDS-J100020.86+021106.3 379 24.236
511011237  150.0887146 2.17731595 F51P005 4 57 1 OK 2.744 2.485 2.335 1.138 2.4167 3 VUDS-J100021.29+021038.3 47 24.742
510253764  150.11312866 2.1814971 F51P005 4 79 2 OK 0.617 1.519 1.984 1.060 2.0851 1 VUDS-J100027.14+021053.3 196 24.952
511009605  150.12498474 2.19086194 F51P005 4 94 1 OK 1.494 2.194 0.986 0.655 2.2813 2 VUDS-J100029.99+021127.1 863 24.731
511479277  150.05305481 2.53840804 F51P007 1 21 1 OK 0.755 0.712 1.526 0.844 2.4463 9 VUDS-J100012.73+023218.2 28153 24.971
511454789  150.06811523 2.54212999 F51P007 1 38 1 OK 2.938 2.551 1.378 0.685 2.1484 3 VUDS-J100016.34+023231.6 28369 24.558
511454886  150.08508301 2.54205608 F51P007 1 52 1 OK 0.457 0.657 1.534 0.715 1.1622 22 VUDS-J100020.41+023231.4 28372 25.189
511454029  150.08822632 2.54746699 F51P007 1 54 1 OK 0.438 0.609 1.573 0.814 3.0759 2 VUDS-J100021.17+023250.8 28584 24.934
511454231  150.09197998 2.54471302 F51P007 1 59 1 OK 4.51 4.669 0.677 0.458 2.9858 2 VUDS-J100022.07+023240.9 28439 23.181
511454055  150.09724426 2.54588509 F51P007 1 66 1 OK 1.17 1.374 2.058 1.02 3.6143 2 VUDS-J100023.33+023245.1 28579 23.566
