# Keckid  DR1id   DR8id  x  y  ra  dec  field  U_colf  U_colfe  B_colf  B_colfe  V_colf  V_colfe  R_colf  R_colfe  i_colf  i_colfe  z_colf  z_colfe  J_colf  J_colfe  H_colf  H_colfe K_colf  K_colfe  K_totf  K_totfe  ch1_colf  ch1_colfe  ch2_colf  ch2_colfe  ch3_colf  ch3_colfe  ch4_colf  ch4_colfe  Uw  Bw  Vw  Rw  iw  zw  Jw  Hw  Kw  ap_col  ap_tot  f_deblend1  f_deblend2  Kr50  Keps  Kposang  totcor  Kstarclass  Opt_badpix  NIR_badpix  UH_maxflags  K_flags  z_spec
# by R. F. Quadri and R. J. Williams on Tue Aug 21 22:40:39 2012
# note PapID=KeckID-1
# DR1 from Williams+08
# DR8 from Quadri+12
#
# generated by Vy on 11Sept2014
 Keckid  DR1id   DR8id  x  y  ra  dec  field  U_colf  U_colfe  B_colf  B_colfe  V_colf  V_colfe  R_colf  R_colfe  i_colf  i_colfe  z_colf  z_colfe  J_colf  J_colfe  H_colf  H_colfe K_colf  K_colfe  K_totf  K_totfe  ch1_colf  ch1_colfe  ch2_colf  ch2_colfe  ch3_colf  ch3_colfe  ch4_colf  ch4_colfe  Uw  Bw  Vw  Rw  iw  zw  Jw  Hw  Kw  ap_col  ap_tot  f_deblend1  f_deblend2  Kr50  Keps  Kposang  totcor  Kstarclass  Opt_badpix  NIR_badpix  UH_maxflags  K_flags  z_spec   
38455 38951   68850    5052.4190    6283.2800   34.609474   -5.186294      9       1.0623       0.0529       1.6485       0.0161       1.7505       0.0159       2.0291       0.0216       2.4474       0.0223       3.1007       0.0530       8.8999       0.1386      13.6376       0.2841      20.0112       0.1866      32.3230       0.5523      34.7887       0.3146      36.9040       0.4941      34.0579       2.8518      17.1326       3.9678       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9861       0.9888       0.9901       1.8000       4.2115      0      0       0.7432       0.2640     -56.8600      1.018         0.03      0      0           0           0  -99.000
38583 39079   69150    5723.3880    6308.3170   34.571670   -5.184897      9       0.3125       0.0447       0.5144       0.0169       0.6366       0.0176       0.9362       0.0246       1.6894       0.0252       3.1796       0.0569      14.5075       0.1369      21.6556       0.2781      29.1527       0.1825      42.0333       0.5037      51.2676       0.3471      60.5537       0.3840      59.3532       2.9885      55.2333       3.0657       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0060       1.0047       1.0021       1.8000       3.9708      0      0       0.6329       0.0690     -88.9400      1.024         0.25      0      0           0           0  -99.000
38590 39086   69201    5088.8130    6305.4570   34.607423   -5.185050      9      -0.0288       0.0531       0.0838       0.0165       0.1517       0.0160       0.3353       0.0220       0.9321       0.0231       2.2726       0.0515      11.7268       0.1404      19.5831       0.2843      29.9881       0.1879      45.0699       0.5640      50.6190       0.3167      52.5927       0.5390      36.4509       2.8738      23.4515       4.2236       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9821       0.9881       0.9850       1.8000       4.2676      0      0       0.6502       0.0590      24.1300      1.017         0.41      0      0           0           0  -99.000
38692 39189   69245    5853.0380    6328.9580   34.564365   -5.183740      9       0.0454       0.0456       0.0995       0.0174       0.1294       0.0185       0.2066       0.0247       0.3812       0.0234       0.6961       0.0505       2.3250       0.1419       3.9881       0.2799       6.0870       0.1792       8.6423       0.4006      13.7432       0.3298      16.4410       0.4738      23.2111       3.1385      22.2318       3.7252       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0092       1.0004       0.9994       1.8000       3.3000      0      0       0.6256       0.1720     -14.1600      1.049         0.11      0      0           0           0  -99.000
38716 39213   69330    5104.8210    6341.7600   34.606520   -5.183013      9       1.8696       0.0574       2.4948       0.0167       2.9614       0.0160       4.8896       0.0225       5.9725       0.0238       6.2829       0.0504       7.6132       0.1427       9.3936       0.2877      10.2753       0.1882      13.0487       0.3824       8.9922       0.3623       6.3060       0.5816       2.6621       3.2113       4.8434       4.3559       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9895       0.9889       0.9845       1.8000       3.0243      0      0       0.5094       0.0770      88.2300      1.066         0.98      0      0           0           0  -99.000
38759 39258   69401    5701.7690    6355.8330   34.572887   -5.182231      9       0.0407       0.0465       0.0802       0.0170       0.0691       0.0169       0.0939       0.0230       0.2077       0.0237       0.2645       0.0500       0.7644       0.1341       1.8130       0.2756       2.4579       0.1833       3.2622       0.4414       6.7989       0.3688       6.6788       0.4267       8.5663       3.1407       6.8195       3.3348       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0112       1.0031       1.0074       1.8000       3.5259      0      0       0.5747       0.1030     -35.1800      1.038         0.86      0      0           0           0  -99.000
38765 39264   69429    6190.7850    6347.4740   34.545336   -5.182704      9      13.5981       0.0532      25.0189       0.0150      31.2305       0.0148      34.3078       0.0202      34.7002       0.0217      33.4784       0.0461      30.6914       0.1368      25.6845       0.2732      16.2997       0.1786      20.6226       0.3739       6.8987       0.2668       4.0378       0.4986       5.7366       2.1769      -5.5183       3.8244       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9951       0.9903       0.9957       1.8000       3.0723      0      0       0.4983       0.0510      38.5700      1.063         0.98      0      0           0           0  -99.000
38800 39302   69515    5366.7980    6353.1180   34.591760   -5.182379      9       0.0928       0.0471       0.1694       0.0168       0.2309       0.0167       0.3677       0.0219       0.5859       0.0252       1.2060       0.0493       4.9841       0.1392       8.2354       0.2780       9.6495       0.1885      16.6645       0.5477      14.2704       0.2907      15.4618       0.3279       7.0202       2.2276      10.5050       2.3202       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9939       0.9927       0.9896       1.8000       4.1511      0      0       0.7801       0.3710      74.8300      1.020         0.03      0      0           0           0  -99.000
38876 39380   69626    4977.5850    6363.3120   34.613689   -5.181802      9       2.3826       0.0597       2.9388       0.0164       3.2985       0.0158       3.7851       0.0215       5.3594       0.0226       7.2868       0.0491       8.9731       0.1391       9.5906       0.2801      11.3658       0.1829      16.2482       0.4514      13.3224       0.3601       9.2995       0.4873      10.5733       3.1363       8.0215       3.8972       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       0.9899       0.9855       0.9901       1.8000       3.5819      0      0       0.6383       0.0630      46.7600      1.036         0.07      0      0           0           0  -99.000
39013 39519   69892    5643.3430    6400.9570   34.576179   -5.179698      9       0.5789       0.0485       0.7268       0.0166       0.7784       0.0171       0.8226       0.0235       0.9535       0.0242       1.2703       0.0498       2.3683       0.1353       2.4198       0.2751       2.7691       0.1830       3.7337       0.3204       2.8094       0.3992       2.5399       0.4918       1.3189       3.4164      -1.7159       3.5134       1.0000       1.0000       1.0000       1.0000       1.0000       1.0000       1.0071       1.0156       1.0066       1.8000       2.5970      0      1       0.5329       0.1310      89.1400      1.104         0.96      0      0           1           1  -99.000
