Nameobj,ra,dec,conf,zspec,zphoto,Av,lmass,lsfr_FAST,Ha_lsfr,fha,fha_err,fha_snr,fha_width,L_ha,fnii,fnii_err,fnii_snr,fhb,fhb_err,fhb_snr,fo3,fo3_err,fo3_snr,fo3_width,fo2,fo2_err,fo2_snr,fo2_width,ZFOURGE_AGN,BPT_AGN,zspec_K,conf_K,zspec_H,conf_H,doubles
7137,150.0547943,2.289252,3,2.161997,2.0252,0.6,9.85,0.06,1.26024389579,2.257,0.071,31.7887323944,6.278,8.23911954923e+41,0.312,0.066,4.72727272727,0.191,0.087,2.19540229885,0.487,0.074,6.58108108108,6.518,,,,,,False,2.161997,3,2.13187,3,
7335,150.0843048,2.2928262,1,,2.0281,0.9,9.68,0.67,,0.1,0.053,1.88679245283,0.5,,0.1,0.027,3.7037037037,,,,,,,,,,,,,--,2.087617,1,,1,
7335b,,,3,2.088292,,,,,,1.79,0.282,6.3475177305,4.944,6.00164051974e+41,0.246,0.145,1.69655172414,,,,,,,,,,,,,False,2.088292,3,,1,
7449,150.1104736,2.2941539,3,2.560717,2.3799,1.0,9.69,1.04,1.29245880863,0.81,0.149,5.43624161074,2.949,4.46963148211e+41,0.201,0.13,1.54615384615,,,,,,,,,,,,,False,2.560717,3,,1,
7547,150.0739136,2.2979679,1,,2.0332,0.4,11.52,-0.76,,1.0,0.061,16.393442623,1.0,,1.0,0.027,37.037037037,,,,,,,,,,,,,--,2.061873,1,,1,
759,150.1997223,2.1970401,1,,2.1682,0.3,9.74,0.38,,0.217,0.098,2.21428571429,1.0,,0.213,0.091,2.34065934066,,,,,,,,,,,,,--,2.062321,1,,1,
7616,150.0684204,2.2978449,2,2.44178,0.7476,0.2,10.11,-0.43,0.706055796967,0.929,0.14,6.63571428571,6.06,4.56579812774e+41,0.0,0.122,0.0,,,,,,,,,,,,,False,2.44178,2,,1,SF_7676b
7676,150.0683746,2.2983763,3,2.160427,2.159,0.4,9.4,-0.21,1.01876592334,1.827,0.093,19.6451612903,4.094,6.65755605921e+41,0.124,0.06,2.06666666667,,,,,,,,,,,,,False,2.160427,3,,1,
7774,150.0697632,2.2994342,3,2.198974,2.1145,1.1,10.17,1.12,1.64377428032,2.222,0.149,14.9127516779,7.101,8.45534220415e+41,0.037,0.197,0.187817258883,0.762,0.092,8.28260869565,1.34,0.122,10.9836065574,6.74,,,,,,False,2.198974,3,2.199341,3,
7879,150.0765076,2.3008397,3,3.258483,3.1608,0.2,9.79,0.77,,,,,,,,,,1.113,0.067,16.6119402985,5.544,0.109,50.8623853211,5.309,,,,,,--,3.258483,3,,1,
